brand_id,brand_name,category_id,brand_factor
b069,Рис Кубань,CAT007,1.027
b070,Каждый день,CAT007,0.946
b071,Увелка,CAT008,0.912
b072,Мистраль,CAT008,0.934
b073,Националь,CAT008,1.018
b074,Агро-Альянс,CAT008,0.983
b075,Макфа,CAT008,1.027
b076,ПродОПТ,CAT008,0.905
b077,Великая,CAT008,1.041
b078,Ярмарка,CAT008,0.958
b079,Алтайская крупа,CAT008,1.062
b080,Зерновита,CAT008,0.976
b081,Золотая Семечка,CAT009,1.085
b082,Олейна,CAT009,1.072
b083,Слобода,CAT009,1.048
b084,Благо,CAT009,0.963
b085,Ideal,CAT009,0.982
b086,Милора,CAT009,1.011
b087,Селяночка,CAT009,0.995
b088,Злато,CAT009,0.958
b089,Красная Цена,CAT009,0.927
b090,Аведовъ,CAT009,1.033
b091,Валио,CAT010,1.012
b092,Простоквашино,CAT010,0.978
b093,Брест-Литовск,CAT010,1.034
b094,Вкуснотеево,CAT010,0.956
b095,Коровка из Кореновки,CAT010,0.989
b096,Экомилк,CAT010,1.021
b097,Домик в деревне,CAT010,1.008
b098,Кубанская бурёнка,CAT010,0.972
b099,President,CAT010,1.067
b100,Alpenbutter,CAT010,1.045
b101,President,CAT011,1.045
b102,Valio,CAT011,1.212
b103,Hochland,CAT011,1.178
b104,Prostokvashino,CAT011,0.902
b105,Savushkin,CAT011,0.815
b106,Lambert,CAT011,1.093
b107,Galbani,CAT011,1.008
b108,BelGioioso,CAT011,0.971
b109,Bonfesto,CAT011,0.948
b110,Сыробогатов,CAT011,0.884
b111,Микоян,CAT012,1.142
b112,Дымов,CAT012,1.087
b113,Велком,CAT012,1.098
b114,Останкино,CAT012,0.973
b115,Клинский,CAT012,1.126
b116,Черкизово,CAT012,1.063
b117,Рублевский,CAT012,1.091
b118,Егорьевская,CAT012,0.956
b119,Папа Может,CAT012,0.984
b120,Окраина,CAT012,1.072
b121,Петелинка,CAT013,1.048
b122,Первая Свежесть,CAT013,0.982
b123,Ясные Зори,CAT013,0.976
b124,Приосколье,CAT013,1.065
b125,Рокко,CAT013,0.961
b126,Мираторг,CAT013,1.021
b127,Каждый День,CAT013,0.954
b128,Золотой Петушок,CAT013,0.998
b129,Курочка Ряба,CAT013,1.112
b130,ВкусВилл,CAT013,0.989
b131,Белая Дача,CAT014,1.042
b132,Мираторг,CAT014,1.018
b133,Агрокомплекс,CAT014,0.973
b134,4 Сезона,CAT014,1.061
b135,Бондюэль,CAT014,1.087
b136,Овощное Лукошко,CAT014,1.026
b137,Фермерские Продукты,CAT014,0.991
b138,Экоферма,CAT014,1.033
b139,ВкусВилл,CAT014,1.112
b140,FreshBox,CAT014,0.978
b141,Красная Поляна,CAT015,0.952
b142,Азербайджанские Сады,CAT015,1.087
b143,Фруктовый Рай,CAT015,1.061
b144,Сады Придонья,CAT015,1.028
b145,Зелёная Грядка,CAT015,0.947
b146,ВкусВилл,CAT015,0.879
b147,Магнит Fresh,CAT015,1.176
b148,Перекрёсток Select,CAT015,1.031
b149,Сочи Фрут,CAT015,1.259
b150,Фруктовая Линия,CAT015,0.886
b151,Чудо,CAT016,0.942
b152,Эпика,CAT016,1.087
b153,Активиа,CAT016,1.056
b154,Простоквашино,CAT016,0.913
b155,Савушкин продукт,CAT016,0.876
b156,Валио,CAT016,1.124
b157,Данон,CAT016,1.032
b158,БиоБаланс,CAT016,0.958
b159,Campina,CAT016,1.011
b160,Домик в деревне,CAT016,0.972
b161,Alpen Gold,CAT017,0.942
b162,Ritter Sport,CAT017,0.978
b163,Milka,CAT017,1.115
b164,Babaevский,CAT017,0.812
b165,Россия – Щедрая душа!,CAT017,1.031
b166,Красный Октябрь,CAT017,0.889
b167,Коркунов,CAT017,0.904
b168,Lindt,CAT017,0.921
b169,Шоколадница,CAT017,1.097
b170,Виктория,CAT017,1.028
b171,BonAqua,CAT018,0.942
b172,Saint Spring,CAT018,0.951
b173,Arkhyz,CAT018,1.008
b174,Borjomi,CAT018,1.072
b175,Essentuki,CAT018,1.015
b176,Legend of Baikal,CAT018,0.987
b177,Shishkin Les,CAT018,0.959
b178,Aqua Minerale,CAT018,1.034
b179,Senezhskaya,CAT018,0.946
b180,Narzan,CAT018,1.061
b181,Jacobs,CAT019,1.045
b182,Tchibo,CAT019,0.971
b183,Jardin,CAT019,0.956
b184,Paulig,CAT019,1.012
b185,Lavazza,CAT019,1.083
b186,Kimbo,CAT019,1.067
b187,Чёрная Карта,CAT019,0.928
b188,Жокей,CAT019,0.942
b189,Illy,CAT019,1.214
b190,Московская кофейня на паяхъ,CAT019,0.993
b191,Ahmad Tea,CAT020,1.02
b192,Greenfield,CAT020,1.04
b193,Tess,CAT020,1.03
b194,Lipton,CAT020,1.05
b195,May Tea,CAT020,1.01
b196,Berkeley,CAT020,0.98
b197,Brooke Bond,CAT020,1.00
b198,Princess Noori,CAT020,0.97
b199,Richard Tea,CAT020,1.06
b200,Akbar,CAT020,1.02
b201,Apple,CAT021,1.111
b202,Samsung,CAT021,1.197
b203,Xiaomi,CAT021,0.936
b204,Huawei,CAT021,1.034
b205,Honor,CAT021,0.99
b206,Google,CAT021,1.12
b207,OnePlus,CAT021,1.007
b208,Realme,CAT021,0.944
b209,Nothing,CAT021,0.951
b210,Sony,CAT021,1.15
b211,Apple,CAT022,1.257
b212,Asus,CAT022,1.026
b213,Acer,CAT022,0.993
b214,Lenovo,CAT022,0.883
b215,HP,CAT022,0.979
b216,Dell,CAT022,1.045
b217,MSI,CAT022,1.117
b218,Huawei,CAT022,1.055
b219,Samsung,CAT022,1.098
b220,Razer,CAT022,0.987
b221,Apple,CAT023,1.3
b222,Samsung,CAT023,1.204
b223,Xiaomi,CAT023,0.934
b224,Huawei,CAT023,1.04
b225,Honor,CAT023,0.962
b226,Sony,CAT023,1.183
b227,LG,CAT023,1.189
b228,Lenovo,CAT023,0.8
b229,HP,CAT023,0.831
b230,Dell,CAT023,1.066
b231,Samsung,CAT024,1.176
b232,LG,CAT024,1.211
b233,Sony,CAT024,1.153
b234,Philips,CAT024,1.092
b235,Panasonic,CAT024,0.969
b236,TCL,CAT024,0.895
b237,Hisense,CAT024,0.834
b238,Sharp,CAT024,1.085
b239,Xiaomi,CAT024,0.907
b240,Skyworth,CAT024,0.914
b241,Apple,CAT025,1.221
b242,Sony,CAT025,1.283
b243,JBL,CAT025,0.969
b244,Sennheiser,CAT025,1.071
b245,Beats,CAT025,0.945
b246,Bose,CAT025,1.228
b247,Marshall,CAT025,1.272
b248,Anker,CAT025,1.004
b249,Nothing,CAT025,0.947
b250,Xiaomi,CAT025,0.935
b251,Apple,CAT026,1.194
b252,Samsung,CAT026,1.099
b253,Xiaomi,CAT026,0.908
b254,Huawei,CAT026,0.961
b255,Honor,CAT026,0.979
b256,Sony,CAT026,1.244
b257,LG,CAT026,1.19
b258,Lenovo,CAT026,0.828
b259,HP,CAT026,0.96
b260,Dell,CAT026,1.002
b261,Apple,CAT027,0.953
b262,Samsung,CAT027,1.3
b263,Xiaomi,CAT027,0.85
b264,Huawei,CAT027,1.061
b265,Honor,CAT027,0.926
b266,Sony,CAT027,1.3
b267,LG,CAT027,1.168
b268,Lenovo,CAT027,0.915
b269,HP,CAT027,0.888
b270,Dell,CAT027,0.987
b271,Apple,CAT028,1.228
b272,Samsung,CAT028,1.256
b273,Xiaomi,CAT028,0.893
b274,Huawei,CAT028,0.988
b275,Honor,CAT028,0.877
b276,Sony,CAT028,1.074
b277,LG,CAT028,1.168
b278,Lenovo,CAT028,0.862
b279,HP,CAT028,0.913
b280,Dell,CAT028,1.023
b281,Knauf,CAT029,1.044
b282,Ceresit,CAT029,1.069
b283,Weber,CAT029,0.993
b284,Mapei,CAT029,1.058
b285,Litokol,CAT029,0.949
b286,Plitonit,CAT029,0.879
b287,Bergauf,CAT029,1.03
b288,Volma,CAT029,0.861
b289,Vetonit,CAT029,1.021
b290,CEKOL,CAT029,0.947
b291,Tikkurila,CAT030,1.162
b292,Dulux,CAT030,1.224
b293,Caparol,CAT030,1.221
b294,Teknos,CAT030,1.059
b295,Belinka,CAT030,1.117
b296,Sadolin,CAT030,0.979
b297,Marshall Paints,CAT030,1.027
b298,Eskaro,CAT030,0.859
b299,Parade,CAT030,1.016
b300,Hammerite,CAT030,0.96
b301,Coca-Cola,CAT031,1.13
b302,Pepsi,CAT031,1.088
b303,Sprite,CAT031,1.007
b304,Fanta,CAT031,0.999
b305,Schweppes,CAT031,1.014
b306,Rich,CAT031,1.093
b307,Dobry,CAT031,0.947
b308,J7,CAT031,1.003
b309,Borjomi,CAT031,1.253
b310,Aqua Minerale,CAT031,1.136
b311,Knauf,CAT032,1.177
b312,Ceresit,CAT032,0.972
b313,Weber,CAT032,1.12
b314,Mapei,CAT032,1.048
b315,Caparol,CAT032,1.247
b316,Tikkurila,CAT032,1.203
b317,Dulux,CAT032,1.236
b318,Sadolin,CAT032,0.916
b319,Teknos,CAT032,0.994
b320,Belinka,CAT032,0.998
b321,Knauf,CAT033,1.004
b322,Ceresit,CAT033,0.95
b323,Weber,CAT033,1.101
b324,Mapei,CAT033,1.093
b325,Caparol,CAT033,1.15
b326,Tikkurila,CAT033,1.07
b327,Dulux,CAT033,1.259
b328,Sadolin,CAT033,1.116
b329,Teknos,CAT033,0.906
b330,Belinka,CAT033,0.852
b331,Knauf,CAT034,1.007
b332,Ceresit,CAT034,1.049
b333,Weber,CAT034,1.082
b334,Mapei,CAT034,0.892
b335,Caparol,CAT034,1.135
b336,Tikkurila,CAT034,1.218
b337,Dulux,CAT034,1.185
b338,Sadolin,CAT034,1.047
b339,Teknos,CAT034,1.012
b340,Belinka,CAT034,1.013
b341,Knauf,CAT035,1.01
b342,Ceresit,CAT035,1.032
b343,Weber,CAT035,1.069
b344,Mapei,CAT035,0.959
b345,Caparol,CAT035,1.121
b346,Tikkurila,CAT035,1.014
b347,Dulux,CAT035,1.283
b348,Sadolin,CAT035,1.017
b349,Teknos,CAT035,1.015
b350,Belinka,CAT035,0.999
b351,Knauf,CAT036,0.999
b352,Ceresit,CAT036,1.053
b353,Weber,CAT036,1.109
b354,Mapei,CAT036,0.921
b355,Litokol,CAT036,1.038
b356,Plitonit,CAT036,0.866
b357,Bergauf,CAT036,0.825
b358,Volma,CAT036,0.881
b359,Vetonit,CAT036,1.017
b360,CEKOL,CAT036,0.911
b361,Zara,CAT037,1.088
b362,H&M,CAT037,1.281
b363,Uniqlo,CAT037,0.974
b364,Levi's,CAT037,1.161
b365,Calvin Klein,CAT037,1.152
b366,Tommy Hilfiger,CAT037,1.236
b367,Mango,CAT037,1.008
b368,Pull&Bear,CAT037,1.091
b369,Bershka,CAT037,0.892
b370,Stradivarius,CAT037,1.003
b371,Zara,CAT038,0.957
b372,H&M,CAT038,0.982
b373,Uniqlo,CAT038,0.904
b374,Levi's,CAT038,1.202
b375,Calvin Klein,CAT038,1.003
b376,Tommy Hilfiger,CAT038,1.224
b377,Mango,CAT038,1.047
b378,Pull&Bear,CAT038,1.012
b379,Bershka,CAT038,1.144
b380,Stradivarius,CAT038,1.097
b381,Zara,CAT039,1.052
b382,H&M,CAT039,1.092
b383,Uniqlo,CAT039,1.006
b384,Levi's,CAT039,1.134
b385,Calvin Klein,CAT039,1.017
b386,Tommy Hilfiger,CAT039,1.216
b387,Mango,CAT039,1.059
b388,Pull&Bear,CAT039,0.983
b389,Bershka,CAT039,0.925
b390,Stradivarius,CAT039,1.079
b391,Zara,CAT040,0.944
b392,H&M,CAT040,1.087
b393,Uniqlo,CAT040,1.034
b394,Bershka,CAT040,0.959
b395,Pull&Bear,CAT040,0.983
b396,Massimo Dutti,CAT040,0.956
b397,Stradivarius,CAT040,0.982
b398,Mango,CAT040,0.962
b399,Reserved,CAT040,0.883
b400,O'STIN,CAT040,1.008
b401,Nike,CAT041,1.006
b402,Adidas,CAT041,0.957
b403,Puma,CAT041,0.926
b404,New Balance,CAT041,1.08
b405,Reebok,CAT041,1.034
b406,Asics,CAT041,1.035
b407,HOKA,CAT041,1.123
b408,Salomon,CAT041,1.049
b409,Skechers,CAT041,0.975
b410,Merrell,CAT041,1.057
b411,Zara,CAT042,0.964
b412,H&M,CAT042,1.072
b413,Uniqlo,CAT042,1.067
b414,Bershka,CAT042,1.061
b415,Pull&Bear,CAT042,1.046
b416,Massimo Dutti,CAT042,1.03
b417,Stradivarius,CAT042,1.05
b418,Mango,CAT042,1.023
b419,Reserved,CAT042,0.951
b420,O'STIN,CAT042,1.05
b421,Zara,CAT043,1.051
b422,H&M,CAT043,1.061
b423,Uniqlo,CAT043,0.947
b424,Bershka,CAT043,0.964
b425,Pull&Bear,CAT043,1.051
b426,Massimo Dutti,CAT043,0.965
b427,Stradivarius,CAT043,1.122
b428,Mango,CAT043,1.101
b429,Reserved,CAT043,1.004
b430,O'STIN,CAT043,1.007
b431,Zara,CAT044,1.129
b432,H&M,CAT044,1.09
b433,Uniqlo,CAT044,1.1
b434,Bershka,CAT044,0.976
b435,Pull&Bear,CAT044,1.122
b436,Massimo Dutti,CAT044,1.005
b437,Stradivarius,CAT044,1.113
b438,Mango,CAT044,1.1
b439,Reserved,CAT044,1.012
b440,O'STIN,CAT044,1.132
b441,Adidas,CAT045,0.926
b442,Nike,CAT045,1.019
b443,Puma,CAT045,0.977
b444,Under Armour,CAT045,0.961
b445,New Balance,CAT045,1.11
b446,Asics,CAT045,1.051
b447,Salomon,CAT045,0.996
b448,Columbia,CAT045,0.913
b449,The North Face,CAT045,1.25
b450,Patagonia,CAT045,1.092
b451,Adidas,CAT046,1.085
b452,Nike,CAT046,1.012
b453,Puma,CAT046,0.986
b454,Under Armour,CAT046,0.962
b455,New Balance,CAT046,0.905
b456,Asics,CAT046,1.044
b457,Salomon,CAT046,1.071
b458,Columbia,CAT046,1.016
b459,The North Face,CAT046,1.256
b460,Patagonia,CAT046,1.2
b461,Spalding,CAT047,0.965
b462,Molten,CAT047,1.007
b463,Wilson,CAT047,1.123
b464,Adidas,CAT047,1.039
b465,Nike,CAT047,0.974
b466,Mikasa,CAT047,1.009
b467,Select,CAT047,0.983
b468,Joma,CAT047,1.074
b469,Umbro,CAT047,1.041
b470,Kipsta,CAT047,0.891
b471,Adidas,CAT048,0.98
b472,Nike,CAT048,1.008
b473,Puma,CAT048,0.898
b474,Under Armour,CAT048,1.006
b475,New Balance,CAT048,0.926
b476,Asics,CAT048,1.01
b477,Salomon,CAT048,1.039
b478,Columbia,CAT048,1.068
b479,The North Face,CAT048,1.213
b480,Patagonia,CAT048,1.103
b481,BTWIN,CAT049,0.861
b482,Giant,CAT049,0.967
b483,Trek,CAT049,1.013
b484,Specialized,CAT049,1.062
b485,Cube,CAT049,1.052
b486,Merida,CAT049,1.094
b487,Author,CAT049,0.959
b488,Scott,CAT049,1.084
b489,Stels,CAT049,0.947
b490,Forward,CAT049,1.115
b491,Adidas,CAT050,1.002
b492,Nike,CAT050,1.102
b493,Puma,CAT050,0.996
b494,Under Armour,CAT050,0.955
b495,New Balance,CAT050,1.055
b496,Asics,CAT050,1.016
b497,Salomon,CAT050,1.042
b498,Columbia,CAT050,1.063
b499,The North Face,CAT050,1.18
b500,Patagonia,CAT050,1.204
